variable,outlier_count,outlier_pct,min,q1,median,q3,max
job_openings_level,2,0.66,2232.0,3758.5,4710.0,6959.0,12301.0
hires_rate,2,0.66,2.8,3.4,3.7,3.9,6.1
hires_level,4,1.32,3639.0,4720.0,5217.0,5531.5,8133.0
quits_rate,6,1.98,1.2,1.8,2.0,2.2,3.0
quits_level,3,0.99,1555.0,2411.0,2881.0,3222.0,4499.0
total_separations_rate,2,0.66,3.0,3.3,3.6,3.8,10.8
total_separations_level,2,0.66,3884.0,4727.5,5110.0,5381.0,16275.0
layoffs_discharges_level,18,5.94,1312.0,1741.5,1839.0,1965.0,12985.0
layoffs_discharges_rate,3,0.99,0.9,1.2,1.3,1.5,8.6
unemployment_rate,24,7.64,3.4,4.2,5.0,6.2,14.8
