target_name,model_name,rmse_mean,rmse_std,mae_mean,mae_std,fold_count,rmse_rank,mae_rank
price_target_0,ElasticNet,0.6039769667002278,0.11614901839167173,0.46264548884916845,0.09288039587252245,5,1.0,1.0
price_target_0,ElasticNetTuned,0.6904517073664034,0.24045140155363648,0.5513730703006675,0.2140031230572895,5,2.0,2.0
price_target_0,Ridge,0.7143054189129922,0.21112885111399646,0.5735815863725438,0.18034683121069942,5,3.0,3.0
price_target_0,SplitOLS,0.7459017030911229,0.25580020076833815,0.5995212895452542,0.2061648779413006,5,4.0,4.0
price_target_0,ExpandingOLS,0.745901703091123,0.2558002007683382,0.5995212895452542,0.20616487794130056,5,5.0,4.0
price_target_0,OLS,0.745901703091123,0.2558002007683382,0.5995212895452542,0.20616487794130056,5,5.0,4.0
price_target_0,RidgeTuned,0.7700823063332377,0.17936714486686534,0.6201179299834859,0.1569258720509132,5,6.0,5.0
price_target_0,RollingOLS,0.8436391916851473,0.44851594813625395,0.6806347471084975,0.37281058000448286,5,7.0,7.0
price_target_0,RandomForest,0.9017606144111643,0.4787885913810124,0.6307936586107814,0.3117679630657933,5,8.0,6.0
price_target_0,ARIMAX,1.117461023103469,0.252472996634346,0.8684915894306815,0.28375528242265163,5,9.0,8.0
price_target_0,SARIMAXTuned,1.159538414582868,0.19210904810641374,0.9017898067469627,0.24792302112480416,5,10.0,9.0
price_target_0,RegimeOLS,1.2130778676628666,0.643029186209814,1.0199943528561508,0.6055424567092609,5,11.0,10.0
price_target_0,Persistence,1.9943181828574275,1.3263455802469122,1.6257397436276246,1.2061284562140229,5,12.0,11.0
price_target_0,LightGBM,,,,,5,,
price_target_0,XGBoost,,,,,5,,
price_target_12,SARIMAXTuned,1.7662701086802652,0.7286216262807005,1.323242629717435,0.5379089360743836,5,1.0,1.0
price_target_12,RandomForest,2.0927389042204814,0.8370088621554036,1.647988774827771,0.6062455674657071,5,2.0,2.0
price_target_12,Persistence,2.1467556531382477,1.3515590678601574,1.8030743430286453,1.2924263747910225,5,3.0,6.0
price_target_12,RidgeTuned,2.1750374370415466,0.5538842165609029,1.7575362797486782,0.33943034464913396,5,4.0,5.0
price_target_12,ElasticNet,2.1808243903319697,0.5270318212052764,1.7478968796063885,0.36066571729221925,5,5.0,4.0
price_target_12,ElasticNetTuned,2.3100948188968395,0.7973360728195404,1.7241000635627366,0.5092592113398475,5,6.0,3.0
price_target_12,ARIMAX,2.3183853237685534,1.1820572140156393,1.8518606457412268,1.112763628851623,5,7.0,7.0
price_target_12,Ridge,2.4643980118088344,1.0266609682298395,1.9753828622188165,0.9804450297017189,5,8.0,8.0
price_target_12,ExpandingOLS,2.5331593651208535,1.283789874743956,2.0198153296947003,1.1248566536261142,5,9.0,9.0
price_target_12,OLS,2.5331593651208535,1.283789874743956,2.0198153296947003,1.1248566536261142,5,9.0,9.0
price_target_12,SplitOLS,2.5331593651208535,1.2837898747439556,2.0198153296947003,1.1248566536261138,5,9.0,9.0
price_target_12,RegimeOLS,2.757217897067915,1.1261003474908455,2.213856396397199,0.7715344631774108,5,10.0,10.0
price_target_12,RollingOLS,4.02317854880975,1.8317256442975334,3.385213392321892,1.5081541511275656,5,11.0,11.0
price_target_12,LightGBM,,,,,5,,
price_target_12,XGBoost,,,,,5,,
price_target_3,ElasticNetTuned,1.3791606140071189,0.3940575224122768,1.113928067963034,0.26031294548523864,5,1.0,1.0
price_target_3,RandomForest,1.5668222672321614,0.6478441954349989,1.2668461611048631,0.5177193422671537,5,2.0,2.0
price_target_3,RidgeTuned,1.5993132277914508,0.5003417395450138,1.3009306140138233,0.45665375992939045,5,3.0,3.0
price_target_3,ElasticNet,1.779335044999262,0.5276725519234488,1.40216486583078,0.4422435011857906,5,4.0,4.0
price_target_3,Ridge,2.0857576538401887,0.6020049719434583,1.629488209125935,0.4152462857931541,5,5.0,5.0
price_target_3,ExpandingOLS,2.2671319659899765,0.7653798631159286,1.7515767211628677,0.5144263718451445,5,6.0,6.0
price_target_3,OLS,2.2671319659899765,0.7653798631159286,1.7515767211628677,0.5144263718451445,5,6.0,6.0
price_target_3,SplitOLS,2.2671319659899765,0.7653798631159283,1.7515767211628677,0.5144263718451446,5,6.0,6.0
price_target_3,Persistence,2.3596631130396233,1.4130069267524137,1.9213524480510529,1.365640771098799,5,7.0,7.0
price_target_3,RegimeOLS,2.4159952968637137,0.848558104680037,1.9541602968025782,0.6679394849862673,5,8.0,8.0
price_target_3,SARIMAXTuned,2.6267035246590265,2.134106107633737,1.9749215453856543,1.5307449603815155,5,9.0,9.0
price_target_3,RollingOLS,2.7521638658269714,1.228569427832727,2.2501915905582455,0.992467028859719,5,10.0,11.0
price_target_3,ARIMAX,2.8010232460823823,2.0002595961657,2.23012028061811,1.4265848430106096,5,11.0,10.0
price_target_3,LightGBM,,,,,5,,
price_target_3,XGBoost,,,,,5,,
price_target_6,ElasticNetTuned,1.7341554223131557,0.3375489085653433,1.4522091644037303,0.23306120642091377,5,1.0,1.0
price_target_6,RandomForest,1.7951956603639119,0.7206625308705109,1.4529368887279583,0.5031414419136566,5,2.0,2.0
price_target_6,RidgeTuned,1.9908664604632207,0.6709061362295297,1.6519263383268352,0.6195602573110645,5,3.0,4.0
price_target_6,ElasticNet,2.0095421772012374,0.542758795791284,1.6411712426862883,0.47002638366185145,5,4.0,3.0
price_target_6,Ridge,2.0459822137725565,0.2362533436791405,1.6919865496568338,0.2428495553007057,5,5.0,5.0
price_target_6,ExpandingOLS,2.1343988138043555,0.1071763065564487,1.7558787949945842,0.22333800675633278,5,6.0,6.0
price_target_6,OLS,2.1343988138043555,0.1071763065564487,1.7558787949945842,0.22333800675633278,5,6.0,6.0
price_target_6,SplitOLS,2.1343988138043555,0.10717630655644901,1.7558787949945842,0.22333800675633306,5,6.0,6.0
price_target_6,ARIMAX,2.3302668496117986,0.8620647292486388,1.9344014133659555,0.8066070328343579,5,7.0,9.0
price_target_6,Persistence,2.3596631130396233,1.4130069267524137,1.9213524480510529,1.365640771098799,5,8.0,8.0
price_target_6,SARIMAXTuned,2.363772852958257,1.1658486253471774,1.8980194757616087,1.0893258114749564,5,9.0,7.0
price_target_6,RegimeOLS,2.3806438660781923,0.18670064156383065,2.0886494110168914,0.128395562226306,5,10.0,10.0
price_target_6,RollingOLS,2.7236998522561264,1.7212007848973598,2.2853951176478193,1.3896759093269377,5,11.0,11.0
price_target_6,LightGBM,,,,,5,,
price_target_6,XGBoost,,,,,5,,
wage_target_0,ElasticNet,0.38722873878359104,0.4875632019229015,0.27495480865602373,0.31124716555640514,5,1.0,1.0
wage_target_0,ElasticNetTuned,0.4056608577143785,0.4782287088304956,0.2911839758348854,0.3036509886116817,5,2.0,2.0
wage_target_0,RidgeTuned,0.45323528007531416,0.5467588808593401,0.34573699156314125,0.40132475886228414,5,3.0,3.0
wage_target_0,RandomForest,0.5696561913352941,0.7659650891374631,0.51441239043747,0.7248667216621415,5,4.0,5.0
wage_target_0,Ridge,0.5750402101384481,0.6116570766751166,0.46438045116150894,0.49532872664973626,5,5.0,4.0
wage_target_0,ExpandingOLS,0.6647754757032714,0.6337746704839432,0.535525857582797,0.5376611840204499,5,6.0,6.0
wage_target_0,OLS,0.6647754757032714,0.6337746704839432,0.535525857582797,0.5376611840204499,5,6.0,6.0
wage_target_0,Persistence,0.6951763114447628,0.6303269259270503,0.6202683784740403,0.5924181780095783,5,7.0,8.0
wage_target_0,RegimeOLS,0.7576044927917293,0.6809964454916636,0.5819993050275636,0.5743131036727134,5,8.0,7.0
wage_target_0,ARIMAX,0.9495401378129962,1.0304538312575582,0.797148383368502,0.9196302275834812,5,9.0,11.0
wage_target_0,SplitOLS,0.9613368878216049,1.0058839875681327,0.7256577711534434,0.7596385927937236,5,10.0,9.0
wage_target_0,SARIMAXTuned,0.9831891853818746,1.0975117903031955,0.8223103999715116,0.9679230055937907,5,11.0,12.0
wage_target_0,RollingOLS,1.0211887733363227,0.8919714823986618,0.7816427192751508,0.6822823314161088,5,12.0,10.0
wage_target_0,LightGBM,,,,,5,,
wage_target_0,XGBoost,,,,,5,,
wage_target_12,Persistence,0.6730337917816968,0.3976591852841404,0.46768048459394346,0.15978034152807732,5,1.0,1.0
wage_target_12,RandomForest,0.8546604444579484,0.7561936184241567,0.6691984562708642,0.6370276000601144,5,2.0,2.0
wage_target_12,ARIMAX,0.8552699015875053,0.7135606085821325,0.6877582539353461,0.6604915713981102,5,3.0,3.0
wage_target_12,SARIMAXTuned,0.8882513692837396,0.7735725901106011,0.7225563209103839,0.7289588823366157,5,4.0,4.0
wage_target_12,ElasticNet,0.9023227613129071,0.7703240575837281,0.7513610508808398,0.7440944274513097,5,5.0,5.0
wage_target_12,ElasticNetTuned,0.9945147224282541,0.9359152179861497,0.8332939881168958,0.9031283940364475,5,6.0,6.0
wage_target_12,RidgeTuned,1.0356183344306347,1.003236979148895,0.8685649963188649,0.9656165228486084,5,7.0,7.0
wage_target_12,Ridge,1.1043302026061568,1.0289697745257786,0.9196496441482488,0.9913785660467919,5,8.0,8.0
wage_target_12,SplitOLS,1.1396460742289156,1.013172176268248,0.9440727044186289,0.9667042273310238,5,9.0,9.0
wage_target_12,ExpandingOLS,1.1396460742289156,1.013172176268248,0.9440727044186292,0.9667042273310242,5,9.0,10.0
wage_target_12,OLS,1.1396460742289156,1.013172176268248,0.9440727044186292,0.9667042273310242,5,9.0,10.0
wage_target_12,RegimeOLS,1.4074239437755218,1.602911264386592,1.0061315580447512,1.2135031888559453,5,10.0,11.0
wage_target_12,RollingOLS,1.4206822691214271,1.9064716032067388,1.0473297868261209,1.5571831337170992,5,11.0,12.0
wage_target_12,LightGBM,,,,,5,,
wage_target_12,XGBoost,,,,,5,,
wage_target_3,ElasticNet,0.5855567100219052,0.4736383536972827,0.38489526291895687,0.3351065050868896,5,1.0,1.0
wage_target_3,RidgeTuned,0.6038733512470296,0.4786081091403352,0.4100815961668093,0.34673832492014733,5,2.0,2.0
wage_target_3,ElasticNetTuned,0.6294709153848953,0.5425762220898422,0.4255725737871104,0.41363089896696603,5,3.0,3.0
wage_target_3,Ridge,0.6317603487300911,0.5029122193128213,0.43565040480065964,0.37787612682819066,5,4.0,4.0
wage_target_3,ExpandingOLS,0.662863163483189,0.4825797725208291,0.4641190182845504,0.36339290492374604,5,5.0,5.0
wage_target_3,OLS,0.662863163483189,0.4825797725208291,0.4641190182845504,0.36339290492374604,5,5.0,5.0
wage_target_3,ARIMAX,0.666651708395577,0.4131653695702111,0.46864793933589627,0.2799395773831185,5,6.0,6.0
wage_target_3,SARIMAXTuned,0.6762474695644378,0.40350261261566617,0.47769155328726765,0.2727701404686193,5,7.0,7.0
wage_target_3,SplitOLS,0.7638988715883601,0.48641966860428265,0.5472203038792088,0.3946074330757943,5,8.0,8.0
wage_target_3,RegimeOLS,0.8575827506752296,0.6866719859916476,0.6263241569679244,0.5402255835703599,5,9.0,9.0
wage_target_3,Persistence,0.8660604419917346,0.7248362871765268,0.6945676978675637,0.6084515728051952,5,10.0,10.0
wage_target_3,RandomForest,0.8772424132474693,0.5267175233713166,0.7188270171750233,0.5102013714249328,5,11.0,11.0
wage_target_3,RollingOLS,1.5723635591572687,1.7068906692927381,1.2855915643748852,1.627535327184907,5,12.0,12.0
wage_target_3,LightGBM,,,,,5,,
wage_target_3,XGBoost,,,,,5,,
wage_target_6,ElasticNet,0.716353312851827,0.5227775558129798,0.5282354742996828,0.45283799404818664,5,1.0,1.0
wage_target_6,SARIMAXTuned,0.7189179306974864,0.5782002411495961,0.5623874687824943,0.4553630627827443,5,2.0,3.0
wage_target_6,RidgeTuned,0.7395484804417711,0.43485600870312574,0.5459992622476951,0.3902123015254253,5,3.0,2.0
wage_target_6,ARIMAX,0.793699702189515,0.5201664430592511,0.6130953122670995,0.4186044182835985,5,4.0,5.0
wage_target_6,ElasticNetTuned,0.800561723871225,0.5987824733605694,0.6061668286036831,0.5338802102548723,5,5.0,4.0
wage_target_6,Ridge,0.8611640404647318,0.4984362183898973,0.645268414541259,0.4327993662787419,5,6.0,6.0
wage_target_6,Persistence,0.8660604419917346,0.7248362871765268,0.6945676978675637,0.6084515728051952,5,7.0,7.0
wage_target_6,ExpandingOLS,0.9242760026579486,0.5116520285225474,0.7325973039577053,0.4650266090010537,5,8.0,8.0
wage_target_6,OLS,0.9242760026579486,0.5116520285225474,0.7325973039577053,0.4650266090010537,5,8.0,8.0
wage_target_6,SplitOLS,0.9242760026579486,0.5116520285225473,0.7325973039577053,0.46502660900105375,5,8.0,8.0
wage_target_6,RandomForest,1.0650317378955119,0.708138364170845,0.8777306870009853,0.6832967951736887,5,9.0,9.0
wage_target_6,RegimeOLS,1.187451664088709,0.9418845189379335,0.9144776857974131,0.858427225351446,5,10.0,10.0
wage_target_6,RollingOLS,1.8171853070621693,2.493209463606699,1.5073620590774197,2.212917383997833,5,11.0,11.0
wage_target_6,LightGBM,,,,,5,,
wage_target_6,XGBoost,,,,,5,,
