y_col,horizon,corr_all,corr_pre,corr_shock,corr_post
wage,3,0.48804793164069915,0.5675372272460601,0.839806691236317,0.39561341993564736
wage,6,0.65487809681388,0.5279748871819313,0.9127914090448294,0.41994419045005665
wage,12,0.7618577350338939,0.7385259095845771,0.8547657293231932,0.3856930160706665
cpi,3,0.21921211704650484,0.04244093590804161,-0.2566334651851013,0.42831829890897793
cpi,6,0.2532967597322985,-0.0010128536020550614,0.02275942011789415,0.35174935713551386
cpi,12,0.24862054606124467,-0.03253903416235928,0.04680485586266076,0.1839025862393108
pce,3,0.24563959759763368,-0.002920055814139274,-0.1146422013151472,0.4506742271914435
pce,6,0.2666301253140574,-0.057630974873351705,0.11833535556519284,0.35605451363374646
pce,12,0.248559113846408,-0.10678141727918532,0.06175613576414279,0.18230073184559797
