model_name,target_name,split_name,rmse_value,mae_value,row_count
ElasticTuned,price_target_0,holdout,0.21975094713981325,0.17870473292210787,24
ElasticNet,price_target_0,holdout,0.24396518367214365,0.20325523761888195,24
SARIMAX,price_target_0,holdout,0.2692138613756261,0.1903925398730515,24
Ridge,price_target_0,holdout,0.36301400638878395,0.29222533146631474,24
OLS,price_target_0,holdout,0.4007398075048466,0.32821824063950555,24
Persistence,price_target_0,holdout,0.4777825760093022,0.4187308070426036,24
ElasticTuned,price_target_12,holdout,0.32014573958371073,0.262578295546236,24
SARIMAX,price_target_12,holdout,0.32040169400463503,0.27650078730662725,24
ElasticNet,price_target_12,holdout,0.4384459081042574,0.36711293333519773,24
Persistence,price_target_12,holdout,0.4777825760093022,0.4187308070426036,24
Ridge,price_target_12,holdout,1.040612982060559,0.8881716262880285,24
SARIMAX,price_target_3,holdout,0.33457821960212847,0.2801135534693157,24
Persistence,price_target_3,holdout,0.4777825760093022,0.4187308070426036,24
ElasticNet,price_target_3,holdout,0.489620609950653,0.4285879658396983,24
ElasticTuned,price_target_3,holdout,0.5718561331103303,0.4792400696442923,24
Ridge,price_target_3,holdout,0.8078958283084143,0.7005021099760075,24
OLS,price_target_3,holdout,0.9672866567734888,0.8784772792653261,24
SARIMAX,price_target_6,holdout,0.3073939837013592,0.25863935427196366,24
Persistence,price_target_6,holdout,0.4777825760093022,0.4187308070426036,24
Ridge,price_target_6,holdout,0.821499191171038,0.760640467069375,24
ElasticNet,price_target_6,holdout,0.9227235405741271,0.7501058518380583,24
ElasticTuned,price_target_6,holdout,1.02527347836256,0.9682646120173906,24
ElasticTuned,wage_target_0,holdout,0.152760453569522,0.11456389639779023,24
ElasticNet,wage_target_0,holdout,0.1682577928951666,0.12881234219844992,24
Persistence,wage_target_0,holdout,0.2703093726505652,0.22354248327027446,24
Ridge,wage_target_0,holdout,0.821425611397997,0.7388674725251937,24
OLS,wage_target_0,holdout,0.9211276352163493,0.827239029846862,24
Persistence,wage_target_12,holdout,0.2703093726505652,0.22354248327027446,24
ElasticNet,wage_target_12,holdout,0.45118362432474535,0.41456444768507356,24
ElasticTuned,wage_target_12,holdout,0.5560492417052482,0.519606690717673,24
Ridge,wage_target_12,holdout,0.739248078057572,0.6609187540703084,24
ElasticTuned,wage_target_3,holdout,0.21024664549186645,0.169509714947267,24
ElasticNet,wage_target_3,holdout,0.22643391809774985,0.18618185717851624,24
Persistence,wage_target_3,holdout,0.2703093726505652,0.22354248327027446,24
Ridge,wage_target_3,holdout,0.27356957497820317,0.21995774145153024,24
OLS,wage_target_3,holdout,0.33443397957289633,0.2631444893963955,24
ElasticTuned,wage_target_6,holdout,0.21926665654071062,0.16937255578267277,24
ElasticNet,wage_target_6,holdout,0.2200115198944827,0.17549720511051922,24
Persistence,wage_target_6,holdout,0.2703093726505652,0.22354248327027446,24
Ridge,wage_target_6,holdout,0.4990288255825057,0.4553284155882362,24
