target,target_col,horizon,coefficient_pre,standard_error_pre,p_value_pre,coefficient_post,standard_error_post,p_value_post,coefficient_change,post_shift,post_shift_standard_error,post_shift_p_value,state,row_count_pre,row_count_post
CPI,cpi_target_3,3,-0.889705651159816,0.4288692862809239,0.03802936913643674,5.328491868504354,4.149042545919477e-14,0.0,6.21819751966417,9.348226137880145,1.9522679262296176,1.6812213530413546e-06,Sign-changing,26,4
CPI,cpi_target_6,6,-0.5175687780705489,0.13026244128756115,7.089049014101586e-05,-0.7009087104294611,0.8230503182086298,0.3944367740913597,-0.18333993235891222,0.36271309464603796,0.27594769516128376,0.18870255717505968,Weak,33,12
CPI,cpi_target_12,12,0.1916392496875831,0.09621282554392771,0.04639010429639668,-0.375800759128714,4.080103652967279e-15,0.0,-0.5674400088162972,0.10732371887778858,0.5688185917524285,0.8503449684866402,Sign-changing,35,5
PCE,pce_target_3,3,-0.35210721015675034,0.33735270733216505,0.296607487649026,2.0672661589338226e-05,5.965942875343195e-17,0.0,0.3521278828183397,-15.309345102176692,5.04541422942341,0.002410874709125768,Sign-changing,26,2
PCE,pce_target_6,6,0.13589779418696052,0.18004720321807025,0.45037510937550584,0.9289212661546102,0.9324256875523194,0.319132767565104,0.7930234719676497,1.0585267960420883,0.528201197590099,0.045067708758354044,Unstable,39,11
PCE,pce_target_12,12,0.19539658309201552,0.05921341402057152,0.0009672954008200959,-1.9496218535204122,0.4125394900347367,2.2909433980457534e-06,-2.145018436612428,-2.069707483012781,0.3344794023121379,6.099134651962568e-10,Sign-changing,37,7
Wage,wage_target_3,3,0.5547058423876478,0.1308942516218789,2.2570394087343168e-05,0.15491864811703993,1.506637899596875,0.9181025975918786,-0.3997871942706078,0.685971260219362,0.44758954375904436,0.1253769061993763,Weak,87,16
Wage,wage_target_6,6,0.26401485073609277,0.20811741389988445,0.2045887376834442,1.1029998756889592,0.2833592942641574,9.918211177051283e-05,0.8389850249528664,-0.2852622984765707,0.29465350430022597,0.33298046343264787,Weak,67,18
Wage,wage_target_12,12,1.427227319916518,0.5945903126520319,0.016379216889641907,-0.7801167962310869,0.44767781893158765,0.08140607578145456,-2.207344116147605,-0.9390769785103086,0.779111714793291,0.22808075922832483,Sign-changing,22,9
