target,target_col,horizon,regime,signal,coefficient,standard_error,t_value,p_value,row_count,r_squared
Wage,wage_target_3,3,Pre-2020,log_jolts_ratio,0.5547058423876478,0.1308942516218789,4.23781667654937,2.2570394087343168e-05,87,0.5862679735619352
Wage,wage_target_3,3,Post-Pandemic (2021-06+),log_jolts_ratio,0.15491864811703993,1.506637899596875,0.10282407482148888,0.9181025975918786,16,0.5810841489748164
Wage,wage_target_6,6,Pre-2020,log_jolts_ratio,0.26401485073609277,0.20811741389988445,1.2685860629764405,0.2045887376834442,67,0.4788267151158129
Wage,wage_target_6,6,Post-Pandemic (2021-06+),log_jolts_ratio,1.1029998756889592,0.2833592942641574,3.892584072646314,9.918211177051283e-05,18,0.863977070601285
Wage,wage_target_12,12,Pre-2020,log_jolts_ratio,1.427227319916518,0.5945903126520319,2.400354142250825,0.016379216889641907,22,0.6099662003370296
Wage,wage_target_12,12,Post-Pandemic (2021-06+),log_jolts_ratio,-0.7801167962310869,0.44767781893158765,-1.7425853219462304,0.08140607578145456,9,0.9222629987146724
CPI,cpi_target_3,3,Pre-2020,log_jolts_ratio,-0.889705651159816,0.4288692862809239,-2.0745380460213902,0.03802936913643674,26,0.5303531545847044
CPI,cpi_target_3,3,Post-Pandemic (2021-06+),log_jolts_ratio,5.328491868504354,4.149042545919477e-14,128427024055100.33,0.0,4,1.0
CPI,cpi_target_6,6,Pre-2020,log_jolts_ratio,-0.5175687780705489,0.13026244128756115,-3.9732771238947437,7.089049014101586e-05,33,0.8068185160001109
CPI,cpi_target_6,6,Post-Pandemic (2021-06+),log_jolts_ratio,-0.7009087104294611,0.8230503182086298,-0.851598857230248,0.3944367740913597,12,0.9706768063594432
CPI,cpi_target_12,12,Pre-2020,log_jolts_ratio,0.1916392496875831,0.09621282554392771,1.9918264389822617,0.04639010429639668,35,0.7886001205150798
CPI,cpi_target_12,12,Post-Pandemic (2021-06+),log_jolts_ratio,-0.375800759128714,4.080103652967279e-15,-92105689240372.78,0.0,5,1.0
PCE,pce_target_3,3,Pre-2020,log_jolts_ratio,-0.35210721015675034,0.33735270733216505,-1.043736132848217,0.296607487649026,26,0.44202044439597776
PCE,pce_target_3,3,Post-Pandemic (2021-06+),log_jolts_ratio,2.0672661589338226e-05,5.965942875343195e-17,346511222472.0894,0.0,2,1.0
PCE,pce_target_6,6,Pre-2020,log_jolts_ratio,0.13589779418696052,0.18004720321807025,0.7547898093277423,0.45037510937550584,39,0.8580141833870025
PCE,pce_target_6,6,Post-Pandemic (2021-06+),log_jolts_ratio,0.9289212661546102,0.9324256875523194,0.9962416078358926,0.319132767565104,11,0.9761056883695824
PCE,pce_target_12,12,Pre-2020,log_jolts_ratio,0.19539658309201552,0.05921341402057152,3.299870246024527,0.0009672954008200959,37,0.8947373915715802
PCE,pce_target_12,12,Post-Pandemic (2021-06+),log_jolts_ratio,-1.9496218535204122,0.4125394900347367,-4.725903581633482,2.2909433980457534e-06,7,0.9678668639113652
